from,to,references
1289680855,1540282753,2
1700898276,1540282753,1
1405958258,1831361117,1
1795647281,1831361117,1
1195052286,1831361117,1
1884129985,1831361117,4
1225790696,1831361117,1
1288641123,1831361117,1
1674708431,1831361117,1
1460369248,1831361117,1
1876989536,1831361117,1
1873602540,1831361117,1
1374512182,1831361117,3
1224619086,1831361117,1
1357910053,1831361117,5
1656037086,1831361117,6
1159274793,1831361117,6
1368334613,1831361117,2
1646496672,1899961042,2
1908154318,1899961042,1
1847310190,1899961042,1
1730025357,1899961042,1
1137951778,1899961042,1
1876989536,1899961042,1
1478154831,1899961042,8
1303089864,1899961042,1
1455227024,1899961042,1
1358545890,1899961042,3
1381055875,1899961042,2
1754757324,1899961042,1
1829647523,1899961042,1
1753786697,1899961042,1
1278100405,1899961042,1
1866084519,1899961042,1
1674708431,1899961042,4
1668089506,1899961042,1
1347986142,1899961042,1
1543164824,1899961042,1
1795265206,1899961042,2
1844373591,1899961042,1
1575018759,1899961042,1
1694116569,1899961042,1
1232052560,1899961042,1
1701929005,1899961042,3
1610133347,1899961042,1
1570117008,1899961042,1
1828897862,1899961042,1
1451350009,1899961042,5
1493917818,1899961042,34
1813918079,1899961042,1
1759858174,1899961042,1
1744853182,1899961042,1
1414255764,1796178500,1
1154985723,1796178500,2
1277769680,1796178500,1
1347986142,1796178500,1
1578821647,1796178500,1
1391578486,1796178500,1
1157521395,1796178500,2
1212306649,1796178500,1
1759858174,1796178500,2
1325572722,1263639526,4
1300351181,1263639526,1
1282230758,1263639526,20
1150849367,1263639526,1
1212306649,1263639526,1
1576082206,1263639526,1
1796178500,1263639526,1
1774822547,1263639526,3
1458480018,1263639526,2
1248811129,1263639526,1
1319853946,1263639526,5
1483299455,1263639526,21
1758294908,1263639526,5
1814944737,1263639526,1
1173848870,1263639526,1
1253414641,1263639526,1
1178989752,1263639526,91
1293742754,1263639526,1
1247163073,1263639526,1
1418544500,1263639526,24
1819053659,1263639526,2
1899961042,1263639526,1
1235779695,1263639526,1
1402823691,1263639526,16
1393682270,1263639526,1
1436970685,1263639526,13
1700898276,1263639526,25
1338122650,1263639526,1
1264708901,1263639526,1
1296131281,1263639526,1
1382073947,1263639526,1
1629308005,1263639526,1
1455847380,1263639526,1
1828897862,1263639526,1
1584075690,1263639526,1
1262084348,1263639526,1
1395110101,1263639526,1
1319373612,1263639526,1
1261210178,1263639526,1
1486568601,1263639526,1
1465591212,1263639526,1
1277769680,1263639526,1
1272714261,1263639526,1
1674708431,1263639526,1
1505034921,1263639526,10
1417136285,1263639526,6
1840462354,1263639526,1
1412906359,1263639526,2
1570117008,1263639526,36
1636229918,1263639526,1
1283783788,1263639526,1
1601727820,1263639526,1
1735418495,1263639526,1
1432763973,1263639526,7
1498419694,1263639526,5
1155714507,1263639526,2
1159889419,1263639526,24
1986858305,1263639526,1
1529535942,1263639526,1
1474612540,1263639526,3
1418130340,1263639526,5
1412296785,1263639526,2
1566351145,1263639526,7
1392773702,1263639526,1
1531245360,1263639526,23
1408548985,1263639526,2
1796735800,1263639526,2
1514101393,1263639526,1
1613089923,1263639526,17
1610133347,1263639526,87
1240512443,1263639526,2
1597987792,1263639526,7
1680636620,1263639526,1
1337342032,1263639526,1
1540638491,1263639526,5
1562193047,1263639526,1
1524475848,1263639526,1
1165884185,1263639526,5
1249907791,1263639526,6
1606472763,1263639526,1
1394864973,1263639526,2
1179270258,1263639526,1
1493281246,1263639526,4
1266927523,1263639526,1
1478154831,1263639526,87
1780320122,1263639526,1
1155778782,1263639526,6
1338897295,1263639526,1
1531569003,1263639526,6
1642114460,1263639526,2
1136479756,1263639526,3
1755977101,1263639526,1
1524638354,1263639526,1
1517200518,1263639526,1
1228213682,1263639526,9
1271615240,1263639526,1
1581859855,1263639526,9
1381055875,1263639526,125
1744245608,1263639526,1
1887756265,1263639526,1
1236346229,1263639526,1
1722611034,1263639526,1
1493917818,1263639526,1
1557050385,1263639526,1
1310984791,1263639526,2
1452565580,1263639526,1
1602013715,1263639526,1
1296093290,1263639526,2
1279055968,1263639526,2
1252903363,1263639526,1
1738743147,1263639526,1
1282206922,1263639526,5
1493732793,1263639526,2
1720389407,1263639526,1
1439749762,1263639526,1
1793357530,1263639526,1
1245240559,1263639526,2
1462113784,1263639526,8
1784497505,1263639526,1
1692152143,1263639526,3
1618047173,1263639526,1
1225790696,1263639526,2
1314940146,1263639526,1
1171570914,1263639526,1
1463837756,1263639526,1
1271263845,1263639526,1
1773879520,1263639526,1
1347986142,1263639526,6
1876989536,1263639526,3
1769780620,1263639526,1
1421567872,1263639526,1
1437063163,1263639526,2
1546737353,1263639526,9
1744701864,1263639526,1
1335927003,1263639526,2
1646496672,1263639526,13
1580738242,1263639526,12
1224619086,1263639526,5
1465036310,1263639526,1
1273312197,1263639526,2
1158235037,1263639526,1
1530205157,1263639526,6
1262978465,1263639526,2
1325874717,1263639526,2
1292472394,1263639526,2
1232052560,1263639526,5
1455227024,1263639526,128
1206185993,1263639526,1
1398056704,1263639526,1
1359539698,1263639526,1
1341385488,1263639526,1
1284383291,1263639526,5
1291846215,1263639526,14
1186016600,1263639526,15
1489074966,1263639526,1
1841371008,1263639526,3
1730851033,1263639526,2
1451350009,1263639526,114
1383517302,1263639526,17
1303980993,1263639526,3
1335567705,1263639526,24
1734949707,1263639526,1
1197014308,1263639526,1
1242599517,1263639526,1
1471634989,1263639526,4
1759858174,1263639526,7
1290447799,1263639526,11
1285806521,1263639526,1
1432950893,1263639526,1
1235314961,1263639526,1
1226255196,1263639526,1
1496342508,1263639526,1
1209438364,1263639526,3
1395048724,1263639526,1
1436510272,1263639526,1
1461039221,1263639526,2
1154985723,1263639526,4
1578821647,1263639526,1
